"Iteration: Iteration","DF B Mean Monitor: Statistics of DF B Monitor (N)","DF D Mean Monitor: Statistics of DF D Monitor (N)","DF FW Mean Monitor: Statistics of DF FW Monitor (N)","DF RW Mean Monitor: Statistics of DF RW Monitor (N)","DF S Mean Monitor: Statistics of DF S Monitor (N)","DF SU Monitor: Force (N)","DF Wheels Front Mean Monitor: Statistics of DF Wheels Front Monitor (N)","DF Wheels Rear Mean Monitor: Statistics of DF Wheels Rear Monitor (N)","Mean DF Monitor: Statistics of Downforce Monitor (N)"
157,1.10333532489162,46.3418209751035,82.0047043651959,113.579239430212,65.8939079768023,-0.593844837117986,-3.61294419937872,-3.17853346792218,301.626935719112
158,1.08104494297875,46.2945510466037,82.0442556470436,113.507949041156,65.7738046732621,-0.651543322516812,-3.59917673521944,-3.17630197921115,301.420601896158
159,1.05747937985676,46.2465225399599,82.0830804080865,113.437771110239,65.655125937564,-0.695030941559304,-3.58558488758126,-3.17408316850133,301.213594716268
160,1.03282217830514,46.1974861911169,82.1211170219835,113.368755606915,65.5376693096118,-0.719064053037578,-3.57215683579913,-3.17184370350057,301.005805993717
161,1.00742626734935,46.1475408029532,82.1583260975398,113.300844004223,65.4215084708865,-0.725853821423647,-3.55887595719859,-3.16954901614188,300.797824037264
162,0.981481989843485,46.0964582532514,82.1947529368505,113.233998036095,65.3067344470509,-0.714551743540216,-3.54572216624036,-3.16717460711287,300.589865867815
163,0.955436296983528,46.0445263914496,82.2304142810561,113.168255702112,65.1935075040469,-0.688507487955827,-3.53263398347854,-3.16469919500374,300.383052904899
164,0.929585014845105,45.9916963431149,82.2653854760479,113.103517928401,65.0817744428602,-0.650174661437059,-3.51957935469152,-3.16210492697248,300.177676803478
165,0.904246379625847,45.9382520287596,82.2997418866838,113.039764574422,64.9717183278503,-0.602132373597175,-3.50654020983265,-3.15939485490798,299.974647380635
166,0.879665094211064,45.8844756642972,82.3335627132092,112.976999725547,64.863348756719,-0.548588896197782,-3.4934703497013,-3.15656969902573,299.774657610252
